228,381
49,26
541,5
143,208
324,394
380,122
337,466
521,594
97,211
304,184
189,65
268,439
220,437
285,196
40,425
261,82
506,247
218,473
51,90
400,245
489,52
314,458
66,326
517,556
295,494
186,109
408,122
253,96
144,172
390,331
413,550
548,465
582,12
441,165
241,192
446,563
192,457
387,248
135,229
195,266
565,581
170,481
309,80
428,405
312,503
228,57
272,424
77,198
531,391
449,10
482,350
307,559
549,572
539,88
486,412
454,310
46,436
86,201
0,470
421,313
576,492
66,5
70,564
398,522
517,107
414,189
459,454
533,301
13,243
124,159
185,422
441,52
183,120
58,0
268,457
52,193
292,262
580,416
579,318
153,476
353,526
189,193
336,588
14,40
531,57
37,320
508,400
473,306
402,507
457,458
318,28
117,537
464,97
367,408
195,249
220,423
169,155
257,123
316,573
187,437
27,154
535,439
109,85
387,578
301,482
583,484
577,252
443,77
65,169
359,304
441,49
377,302
411,53
438,269
412,133
456,528
457,242
240,9
278,90
153,298
586,473
265,552
27,364
500,496
185,578
182,340
418,451
373,158
226,66
201,509
124,71
73,5
281,477
268,265
475,298
128,180
303,429
474,413
294,289
250,328
422,64
370,232
361,459
572,179
354,309
261,279
271,432
306,376
7,79
13,219
482,242
132,412
143,24
94,140
502,95
339,303
363,55
319,449
435,132
106,304
47,330
63,365
370,411
215,300
408,516
1,491
589,349
289,576
422,343
130,211
424,409
57,306
316,43
232,418
444,595
587,11
469,173
538,421
440,341
140,151
566,440
332,534
328,264
267,314
241,175
466,228
360,147
41,212
525,408
537,136
175,139
83,206
168,378
35,546
591,193
188,43
15,119
361,79
496,543
5,247
474,402
584,414
466,82
351,171
475,146
71,341
2,49
21,294
397,157
597,208
480,403
101,100
398,373
308,122
337,221
525,59
479,510
130,298
577,578
239,297
360,373
93,471
230,232
39,167
559,178
292,364
474,1
177,192
87,38
170,20
159,54
301,34
203,221
12,142
330,430
437,3
210,557
367,369
402,477
147,156
569,29
301,513
63,13
189,33
287,246
143,80
533,143
515,343
82,557
529,237
208,298
389,460
284,446
514,0
440,387
223,307
378,370
59,179
276,147
390,133
96,73
293,370
80,308
345,599
552,32
525,347
305,211
362,98
10,164
546,111
444,167
253,526
563,429
146,102
316,520
566,597
64,20
74,14
204,416
308,158
321,516
597,533
110,565
138,143
40,4
361,522
148,540
594,282
73,330
495,407
133,463
138,120
34,105
58,257
444,256
9,592
521,76
20,310
158,27
32,552
467,288
125,565
298,495
442,154
113,421
382,97
320,109
254,441
537,269
263,566
37,559
434,137
133,347
303,42
347,498
503,521
437,333
18,213
66,124
329,12
261,386
90,417
404,518
326,83
596,172
72,97
434,178
148,492
560,335
489,213
474,429
44,38
596,519
595,541
338,398
411,554
435,486
223,41
387,397
517,67
196,35
518,415
296,492
290,30
334,531
38,452
94,537
52,122
466,275
292,145
556,281
92,425
190,555
513,71
314,470
161,197
486,28
479,163
587,594
82,347
363,66
331,466
484,337
177,259
293,267
34,285
316,170
352,397
514,286
501,382
324,278
597,372
351,4
287,529
526,343
263,159
587,234
67,27
0,122
560,307
417,485
576,230
560,477
226,17
107,283
495,107
270,81
420,70
337,32
289,181
31,240
452,341
578,254
155,44
469,191
109,454
424,419
315,479
570,5
176,131
254,391
162,272
140,242
308,221
178,562
425,44
367,232
247,42
157,338
446,48
33,45
227,210
575,595
374,204
262,143
492,117
542,364
298,435
81,173
519,30
21,200
316,481
29,492
274,50
534,210
208,395
77,584
24,481
547,471
453,538
370,14
36,196
46,527
323,512
139,448
298,309
278,428
261,584
467,360
99,561
451,82
398,321
464,98
151,392
215,549
77,404
447,550
378,563
44,141
466,57
291,476
217,589
58,404
536,462
382,375
572,451
367,166
355,255
196,186
315,435
303,367
425,534
52,205
115,520
83,464
107,284
496,168
24,67
499,283
178,229
433,261
242,259
198,162
564,504
181,298
258,214
503,195
478,132
387,349
379,557
503,510
233,588
532,21
219,411
551,404
495,515
249,63
161,38
21,530
84,576
41,62
454,20
187,139
551,523
537,410
86,215
205,241
24,70
123,138
190,297
9,197
17,596
170,25
285,184
214,362
543,92
354,404
269,355
87,445
224,246
418,297
272,410
551,599
533,244
331,393
37,89
165,225
38,466
127,414
346,157
311,270
250,119
156,13
321,333
176,228
582,489
297,501
421,185
403,130
275,108
230,22
587,454
303,515
178,483
53,218
547,120
451,218
120,61
21,575
503,118
272,188
388,209
3,139
320,170
308,488
398,297
80,302
70,349
491,505
400,283
344,147
238,118
590,298
574,554
135,166
307,12
181,408
215,449
491,286
471,63
470,196
259,344
7,444
